Name,Elevation (m),lat,lon
Gimpel,2173,47.5012736,10.6125164
Heiterwand,2639,47.3141753,10.7328934
Breiter Grieskogel,3287,47.1012558,11.0226228
Hochfrottspitze,2649,47.2969091,10.2930007
Hinterreintalschrofen,2670,47.3961111,11.0758333
Habicht,3277,47.0438844,11.2895399
Hochferner - Gran Vedretta,3470,46.9779753,11.7179995
Hintergraslspitzen,3334,46.8588786,10.8107247
Jochköpfl,3143,46.9259999,11.1078766
Imster Muttekopf,2774,47.2674515,10.65172
Hochreichkopf,3010,47.1704527,10.9697703
Hochvernagtspitze,3536,46.8814307,10.7969244
Hochnissl,2546,47.3673266,11.617999
Nördliches Höllhorn,2145,47.35946,10.38698
Westliche Karwendelspitze,2385,47.4300189,11.298858
Hochwilde - Cima Altissima,3482,46.7654204,11.0222536
Südliches Höllhorn,2145,47.35827,10.38663
K2,3253,46.9659125,10.7940661
Kaltenberg,2896,47.0865075,10.1382648
Karlesspitze - Cima di Quaira,3463,46.7721198,10.9749815
Kuhkopf,2399,47.436169,11.4561233
Kreuzjoch / Kellerjoch,2343,47.3190551,11.7705435
Vordere Kesselschneid,2002,47.606892,12.2778148
Kreuzspitze,3155,47.0467322,12.3591005
Kreuzjoch,2558,47.2514939,11.9826003
Kröndlhorn,2444,47.2987423,12.1649479
Nördliche Malhamspitz,3373,47.0493651,12.259237
Östliche Marzellspitze,3555,46.7711488,10.9107249
Marchspitze,2609,47.3151318,10.3744164
Lärcheck,2123,47.569032,12.3515446
Lasörling,3098,46.9759022,12.3550378
Kreuzspitze,3455,46.8163049,10.8700598
Luibiskogel,3110,47.0495574,10.9040158
Mädelegabel,2644,47.2999249,10.2956802
Oberreintalschrofen,2523,47.3955556,11.1038889
Maukspitze,2231,47.5588954,12.3563668
Mittagskogel,3162,46.9335443,10.8718085
Wilde Leck,3359,47.0027395,11.0622824
Hohes Licht,2651,47.2801709,10.2760287
Loreakopf,2471,47.3541156,10.7713999
Mutmalspitze,3528,46.7830059,10.9084967
Predigtstein,2234,47.3833181,11.058048
Großer Mörchner,3285,47.0313345,11.8650512
Hohe Munde Ostgipfel,2592,47.3462065,11.0812091
Rappenspitze,2223,47.4022373,11.645741
Großer Ramolkogel,3549,46.846794,10.9591333
Rastkogel,2762,47.204304,11.7508806
Fleischbank,2186,47.5692514,12.3176243
Patscherkofel,2246,47.2088279,11.4606079
Rainerhorn,3559,47.1008482,12.3641464
Puitkogel,3345,46.9814659,10.9011992
Hohes Rad,2934,46.8928601,10.1115262
Rauheck,2385,47.3447112,10.368148
Regalmspitze,2253,47.5566161,12.3390054
Hoher Riffler (Süd),3166,47.1159685,10.3709728
Hoher Riffler,3231,47.0813161,11.7043401
Rostocker Eck,2749,47.0501914,12.2876843
Rote Flüh,2108,47.4995774,10.6085088
Rote Säule,2820,47.0397249,12.3498374
Rotgundspitze,2485,47.2881103,10.265806
Ruderhofspitze,3474,47.0397862,11.1430784
Saumspitze,3039,47.0508706,10.2696446
Schalfkogel,3537,46.8017625,10.9590789
Scheffauer,2111,47.5573214,12.2418396
Schaufelspitze,3332,46.9784524,11.1156801
Große Schlenkerspitze,2827,47.2490671,10.6154437
Schönbichler Horn,3133,47.0086652,11.7730357
Schneefernerkopf,2874,47.4095968,10.9699595
Schrandele,3392,47.0547828,11.1117885
Schrankogel,3497,47.0442042,11.098894
Schöntalspitze,3002,47.1222032,11.0944998
Schwabenkopf,3379,47.0066667,10.7936111
Mittlerer Seekarkopf,3063,46.8736111,10.6191667
Schweikert,2881,47.0334776,10.773395
Hinterer Seelenkogel - Cima delle Anime,3475,46.8015987,11.0443642
Similaun,3597,46.763682,10.8806482
Serles,2717,47.1239628,11.3813481
Westliche Seespitze,3354,47.0475,11.1425
Sonklarspitze - Cima di Malavalle,3444,46.9562776,11.1645408
Sonnjoch,2458,47.4123801,11.6051374
Sonnenspitze,2416,47.3682476,10.921911
Strahlkogel,3288,47.1090332,11.0195215
Hinterer Spiegelkogel,3426,46.8292483,10.9588303
Steinbergstein,2215,47.3414365,12.190085
Stubaier Wildspitze,3341,46.983073,11.099443
Pflerscher Tribulaun - Tribulaun di Fleres,3097,46.9852899,11.3388907
Treffauer,2306,47.5553498,12.291484
Tschirgant,2372,47.2416948,10.7963916
Großer Trögler,2902,46.995677,11.1603469
Thurntaler,2408,46.7745215,12.3829073
Totenkirchl,2190,47.57,12.3119444
Urbeleskarspitze,2631,47.3368069,10.4684011
Piz Val Gronda,2812,46.9232667,10.2909586
Ötztaler Urkund,3554,46.8807563,10.8735642
Hochunnutz,2075,47.5199844,11.735936
Wannig,2493,47.3366281,10.8621255
Hohe Warte,2596,47.3015941,11.3334901
Vorderseespitze,2889,47.1848898,10.3671263
Verpeilspitze,3423,47.0034705,10.804949
Hohe Villerspitze,3087,47.1067339,11.1653884
Wiedersberger Horn,2127,47.361238,11.9228776
Wildenkogel,3021,47.1040249,12.4594679
Unknown,3370,46.9688733,11.7470342
Südliche Wetterspitze,2746,47.4007961,10.9703511
Weißseespitze - Cima del Lago Bianco,3498,46.8462323,10.7168691
Wildnörderer,3015,46.8913889,10.6152778
Wildgrat,2971,47.1406277,10.8267113
Kleiner Wilder,2306,47.363175,10.386236
Zsigmondyspitze,3089,47.0504335,11.8378314
Vordere Grubenwand,3173,47.1191845,11.0860454
Wörner,2476,47.4497121,11.3381365
Zwölferspitze,2562,47.0766522,11.2995344
Aglsspitze - Cima dell Accla,3194,46.9655114,11.2438947
Botzer - Il Capro,3251,46.9311224,11.198011
Gamskogel,2813,47.0553121,10.9969684
Wildkogel,2224,47.2857538,12.2973967
Osterfelderkopf,2060,47.4386941,11.049713
Alpspitze,2628,47.4294968,11.0478118
Walser Hammerspitze,2170,47.3264552,10.1995502
Oberstdorfer Hammerspitze,2260,47.3193423,10.2104165
Vermuntkopf,2851,46.8641207,10.1264589
Parpaner Rothorn,2861,46.7429325,9.5970634
Parpaner Weisshorn,2775,46.7590938,9.6020134
Parpaner Schwarzhorn,2683,46.7746005,9.5964737
Hinterunnutz,2007,47.5298593,11.734708
Plattenkogel,2039,47.2248591,12.1352773
Schneekarspitze,3210,47.1461011,12.0930285
Schlieferspitze,3290,47.1229625,12.24303
Tuxeck,2226,47.5523693,12.2893322
Schneid,2009,47.4933672,10.6449598
Saile (Nockspitze),2404,47.1920709,11.3247164
Saile (Nockspitze) Vorgipfel,2379,47.1942828,11.3260473
Spitzmandl,2206,47.1967727,11.3333826
Nebelhorn,2224,47.4218727,10.3423461
Windspitz,2390,46.6857979,11.3036364
Kleiner Riffler,3014,47.1164873,10.3651533
Blankahorn,3129,47.1142889,10.3677235
Frieder,2053,47.5217533,10.9595715
Friederspitz,2049,47.5171414,10.9588323
Schellschlicht,2052,47.5092999,10.9163331
Holenke,2044,47.331628,9.928054
Sass da Ciampac,2667,46.5631204,11.8352476
Piza de Gherdenacia,2673,46.5945886,11.8482211
Crap Tgietschen,2583,46.8337629,9.0703575
Kistenstöckli,2746,46.8173374,9.0199219
Kuchelbergspitze,2020,47.5414219,10.9425313
Kuchelbergkopf,2026,47.5349169,10.9254312
Geierköpfe-Ostgipfel,2060,47.5183384,10.8888673
Geierköpfe-Westgipfel,2143,47.5161748,10.8659693
Ruitelspitze,2580,47.2556097,10.445962
Zwölferspitze,2594,47.2508184,10.4649844
Munt la Schera,2587,46.6451816,10.2105038
Großer Daumen,2280,47.4415982,10.3755228
Speikboden,2653,46.9459145,12.4186206
Donnerstein,2725,46.9472845,12.4273937
Rußkopf,2693,46.8660274,10.169851
Piz Faschalba,3048,46.8663175,10.2326368
Curuna Lada,3079,46.8708819,10.2413126
Kronplatz - Plan de Corones,2275,46.7387791,11.9583111
Schöttelkarspitze,2050,47.4940798,11.3298011
Mohnenfluh,2542,47.2324241,10.1021826
Unknown,2285,47.311405,10.214009
Nördlicher Schafalpenkopf,2320,47.3105646,10.2166035
Mittlerer Schafalpenkopf,2302,47.3066046,10.2104142
Südlicher Schafalpenkopf,2272,47.302794,10.205396
Kemptner Kopf,2191,47.2975067,10.1990974
Rüfikopf,2360,47.2012227,10.1696771
Vorderes Alpjoch,2121,47.2570076,10.6756217
Maldongrat,2544,47.2982864,10.6746367
Tschachaun,2334,47.3082041,10.6727936
Frauenalpl,2202,47.4142547,11.1175579
Bernadeinkopf,2144,47.4310847,11.0603371
Schochenspitze,2069,47.4522897,10.5240349
Kompar,2011,47.4555507,11.5845235
Punta Fiames,2240,46.5759336,12.129961
Col Rosà,2165,46.5857888,12.0976984
Pleisjochspitze,2201,47.3963127,10.6135092
Roßkogel,2646,47.2230014,11.1538119
Weißstein,2640,47.2198453,11.148373
Tschaggunser Mittagsspitze,2168,47.0457713,9.8850024
Muttjöchle,2074,47.0983772,10.0279695
Orenknott,2258,46.6819857,11.0242082
Rötkreuz,2074,47.0422793,12.1397837
Geißhorn,2366,47.28786,10.175332
Hinterer Maurerkeeskopf,3311,47.0925558,12.2837771
Mooskopf,2532,47.0135928,10.7647794
Mittagskopf,2616,47.0460855,10.7196525
Roter Schrofen,2702,47.0398856,10.7180303
Campill - Campiglio,2190,46.752977,11.8252006
Astjoch - Cima Lasta,2194,46.7628514,11.8087573
Wannejöchl,2497,47.1548042,10.6704133
Guflekopf,2563,47.2125853,10.3382361
Mittagsspitze,2227,47.3568541,10.576601
Seebleskarspitze,2539,47.2489227,10.4815965
Bschlaber Kreuzspitze,2462,47.3316919,10.5912784
Guflespitze,2527,47.2084473,10.3372388
Sattelkarspitze,2552,47.3280268,10.4477114
Sagzahn,2228,47.4532512,11.7979621
Vorderes Sonnwendjoch,2224,47.444691,11.8010535
Hinterer Tajakopf,2407,47.360273,10.9486038
Erlspitze,2405,47.3201184,11.2850433
Verhupfspitze,2957,46.8885771,10.0560878
Haidachstellwand,2192,47.4440114,11.7803713
Marchspitze,2004,47.4660571,11.8031555
Rotspitze,2067,47.4454298,11.7523556
Stuhlböcklkopf,2169,47.4618031,11.7560255
Schneeglocke,3223,46.8643969,10.0854312
Silvrettahorn,3244,46.8581117,10.0926709
Piz Buin,3312,46.8441236,10.1188918
Nördliche Linderspitze,2372,47.4279802,11.2930554
Dreiländerspitze,3197,46.8510186,10.1449726
Tschifernella,2261,46.9107407,10.05483
Stoanerne Mandln,2003,46.6357213,11.3046101
Saykogel,3355,46.798106,10.8519392
Glurnser Köpfl - Monte di Glorenza,2373,46.6456728,10.5180569
Planggerle,2534,46.6343966,10.5085227
Piz Chavalatsch - Monte Cavallaccio,2763,46.6153316,10.4919833
Hochmaderer,2823,46.9288156,10.0283028
Kleinlitzner,2783,46.899748,10.0329655
Großlitzner,3109,46.8864647,10.0382915
Riedkopf,2551,46.9749946,9.8777771
Große Schlicke,2059,47.5184451,10.6234601
Kreuzkogel,3338,46.8106084,10.8624364
Hundsheim,2822,46.981646,11.1688116
Aperer Freiger,3262,46.9767153,11.1796667
Unknown,2048,47.3098962,10.3377599
Samspitze,2624,47.1737789,10.3955589
Bielerkopf,2389,46.9243162,10.0961132
Krottenkopf,2656,47.3115458,10.3556629
Kohlbergspitze,2202,47.4378194,10.7996311
Wanglspitze,2420,47.1842117,11.7748141
Pederköpfl - Dosso di Peder,2586,46.5064916,10.6913201
Hoher Freschen,2004,47.3069031,9.7776539
Pitzenegg,2174,47.443061,10.8235643
Hochschrutte,2247,47.4451007,10.8420855
Kleines Pfuitjöchle,2133,47.4429115,10.8494729
Gitsch - Monte Cuzzo,2510,46.8595389,11.686882
Upsspitze,2332,47.4312405,10.8745916
Großes Pfuitjöchle,2196,47.4413629,10.8548066
Breite Rast,2105,46.9774608,11.9946726
Schönberg - Montebello,2273,46.967148,11.8837583
Hasenöhrl - L'Orecchia di Lepre,3257,46.5440663,10.8588813
Schwarzer Kranz,2494,47.2150396,10.2678565
Furklaspitze,2587,47.17474,10.3582318
Freispitze,2884,47.2006699,10.4285634
Erlispitze,2634,47.1713344,10.2114127
Grasberg,2020,47.4768574,11.5425216
Piz Boè,3152,46.5089192,11.828299
Punta Grohmann - Grohmannspitze,3114,46.5106383,11.7329941
Sasplat - Plattkofel - Sasso Piatto,2958,46.5141372,11.715784
Plattenspitze / Punta delle Laste,3422,46.5214043,10.6411545
Pralongiá,2109,46.5330314,11.9156425
Col de Stagn,2517,46.5177941,11.8519943
Cé de Salares,2283,46.5456136,11.987729
Piza de Medo - Punta di mezzo,2989,46.5515116,12.0141774
Unknown,2535,46.5576985,11.8020594
Wasserkofel - Sas dal'Ega - Furchetta Grande,2924,46.6133005,11.781847
Sas Rigais,3025,46.6092876,11.7668196
Geislerspitze - Gran Odla - Grande Odla,2832,46.6037551,11.7557292
Le Ciaval,2907,46.6144819,11.951485
Col de Locia,2069,46.5654516,11.9983647
Piza dl Lech,2654,46.5575563,12.0026699
Monte Paterno - Paternkofel,2744,46.6304112,12.3151777
Guflreiteck - Monte Covolo,2160,46.6765592,11.4561717
Piza dales Nü,2968,46.6303454,11.9810725
Alfreider Joch - Giogo d'Alfarei,2280,46.6977434,11.8183826
Vorderer Verdinser Plattenspitz - Laste di Verdins (di fuori),2680,46.7017954,11.2755741
Maiser Rast - Riposo di Maia,2027,46.6609483,11.2844194
Foratrida,3134,46.7052599,10.4088383
Hundskopf - Cima Cane,2356,46.7090722,11.5842781
Radlseenock - Punta del Lago Rodella,2391,46.7102075,11.5785461
Unknown,2410,46.7105198,11.5582945
Stangila - Monte delle Vacche,2429,46.7121188,11.5562543
Eiskofel,2421,46.7131756,11.5524711
Le Seneser - Senneser Karspitze - Punta Quaira di Sennes,2659,46.6766491,12.0563558
Hornischegg - Monte Arnese,2550,46.7008257,12.4138337
Hollbrucker Spitze - Cima di Pontegrotta,2580,46.6990907,12.4270422
Demutspitze - La Muta,2592,46.6901926,12.4461393
Dreischusterspitze - Punta dei Tre Scarperi,3152,46.6679716,12.3176
Schusterplatte - Lastron dei Scarperi,2956,46.6571141,12.3165155
Jocherer Berg - Monte del Passo,2394,46.6956577,11.4920108
Samspitze,2563,46.7062821,11.4934185
Geißhorn - Cima di Capra,2519,46.7239304,11.5113608
Kolbenspitze - La Clava,2868,46.772587,11.1474116
Rauchegg,2078,46.7222992,12.3776227
Tagewaldhorn - Corno di Tramin,2706,46.7806788,11.4967367
Liffelspitz - Monte Livolo,2590,46.7459302,11.5079709
Kreuzjoch - Monte della Croce,2560,46.7802421,11.5294286
Marchspitze - Cima Mercato,2544,46.7712866,11.516549
Gaishörndl,2615,46.791449,12.2807583
Tatschspitze - Montaccio di Pennes,2526,46.8088189,11.4828741
Niedereck - Dosso Basso,2304,46.804851,11.4663503
Scheibe,2050,46.843008,11.9142724
Windeck - Cima del Vento,2418,46.8633504,11.9025753
Putzenhöhe - Cime di Pozzo,2438,46.8644979,11.8634288
Mutenock - Monte Mutta,2484,46.8677211,11.8233167
Zwölferspitz - Cima Dodici,2351,46.870631,11.8445255
Hinterbergkofel - Monte di Dentro,2727,46.8737526,12.2181411
Kandlkopf,2354,46.8674049,11.9090562
Rixer Nock,2205,46.8764326,11.9136694
Eidechsspitze - Cima di Terento,2738,46.8702925,11.7556078
Kleiner Grubbachspitz - Rocca dei Camosci,2756,46.8802132,11.7699427
Hochgrubbachspitz - Monte Gruppo,2809,46.8825081,11.7697254
Ebengrubenspitz - Cima di Pianbello,2989,46.906951,11.5835828
Blauer Stoan,2584,46.8838945,11.5884051
Schwarzenstoan,2696,46.878022,11.5941355
Schellenberg,2355,46.8543832,11.5895385
Gänsebichl - Monte di dentro,2100,46.8424915,11.5928883
Sandturm - Cima della Rena,2755,46.9272412,11.6136178
Sandspitz,2719,46.9258676,11.6177633
Rübespitz - Punta Riva,2787,46.9260047,11.6230038
Bretterspitz - Cima di San Paolo,2695,46.8902539,11.6612458
Fallmetzer - Monte Val di Mezzo,2568,46.8708806,11.6768288
Niederer Weißzint - Punta Bianca Bassa,3263,46.9575211,11.7360119
Blauwand,2584,46.9083197,11.7387718
Schwarzerspitz,2862,46.9885081,12.0770572
Schaflahnernock - Cima delle Pecore,2703,46.9523665,11.8132157
Weiße Wand - Croda Bianca,2666,46.9471101,11.8115749
Gabelspitze - Cima di Forca,3076,47.0057364,12.1212338
Kleiner Alprechtspitz,2855,47.0079515,12.1088444
Wagnerschneid Spitz - Cima Triangolo,2893,47.0585216,12.0595056
Dreiherrnspitze,3499,47.0691713,12.240752
Strudelkopf - Monte Specie,2307,46.6444985,12.2126758
Wasserfallkarspitze,2557,47.3438408,10.4853692
Schwellenspitze,2496,47.3493257,10.4912697
Ramstallspitze,2531,47.302725,10.3547349
Jöchlspitze,2226,47.2817295,10.3590718
Weisshorn,2653,46.7895889,9.6387758
Ritzlar,2528,46.7060986,11.5006501
Piz Nair,3057,46.5063953,9.7873706
Hochjoch,2365,46.5730683,10.9974588
Kreuzknöttler,2444,46.5917879,10.9975409
Muttegrub,2737,46.5765777,10.9568874
Peilstein - Il Sasso,2542,46.5688002,10.9816986
Rontscher - Monte dei Romici,2711,46.5797025,10.9671826
Schwarze,2616,46.5858702,10.9886147
Zielspitze - Cima di Tel,3008,46.69272,11.0131649
Drachenkopf,2303,47.3577088,10.9265357
Trumsspitze - Punta di Trumes,2914,46.671166,10.8923178
Grubenspitze - Punta delle Fosse,2899,46.6665677,10.8874738
Schröfwand,2815,46.7346823,10.8802322
Gehrenspitze,2367,47.3867606,11.1351354
Sulzfluh,2818,47.0126709,9.8396931
Petz - Monte Pez,2568,46.5118256,11.5748922
Peitlerkofel - Sass de Pütia - Sass de Putia,2875,46.6588572,11.8205348
Grüne Kuppe,2579,46.8618771,10.1115352
Saldurspitze - Punta Saldura,3433,46.7407134,10.7361131
Ramudlakopf - Cima Ramudla,3336,46.7241109,10.7236093
Kreuzspitzl,2089,47.5176952,10.918179
Kreuzspitze,2367,47.38394,10.43089
Kreuzkopf,2287,47.3846,10.41966
Vorderer Wilder,2240,47.3780492,10.4114125
Großer Wilder,2379,47.37022,10.38904
Kratzer,2427,47.30642,10.31748
Hochrappenkopf Nordgipfel,2425,47.2804198,10.2457455
Hochgehrenspitze,2251,47.3212941,10.207004
Hinterer Brunnenkogel,3438,46.9126255,10.8613294
Spitzige Lun - Piz Lun,2324,46.7062352,10.5773605
Hochjoch - Giogo Alto,2570,46.7107972,10.6018287
Hochpleisspitze,2349,47.295147,10.64242
Ortkopf,2314,47.3140984,10.615148
Egger Muttekopf,2311,47.3231814,10.6075039
Geireköpfe,2295,47.3155254,10.6950683
Unknown,2303,47.312948,10.693378
Kienberg,2218,47.2944293,10.711339
Brunnkarspitze,2609,47.2498197,10.626104
Bockkarspitze,2602,47.256005,10.56806
Nördliche Bockkarspitze,2501,47.260657,10.566082
Potschallkopf,2587,47.26754,10.569912
Hinterer Riefenkopf,2366,47.2774685,10.5688292
Wannenkopf,2319,47.2824248,10.560384
Mittlerer Karkopf,2606,47.1742498,10.8582572
Hoher Karkopf,2686,47.1709232,10.8463763
Blosse,2536,47.1816297,10.8473682
Schwendtkopf,2605,47.141285,10.8096613
Vernagl,3352,46.815015,10.751025
Teufelsegg - Cresta del Diavolo,3227,46.7861645,10.7603513
Westlicher Fineilkopf - Punta dei Corvi occidentale,3407,46.7749432,10.8194017
Östlicher Fineilkopf,3415,46.7743966,10.8228991
Kleiner Similaun - Piccolo Similaun,3363,46.7658053,10.8684277
Westliche Marzellspitze - Punta di Marzèl Ovest,3527,46.7699606,10.8962035
Rötenspitze,3393,46.7752477,10.9438015
Unknown,3424,46.804867,11.0390546
Liebener Spitze - Cima della Chiesa,3400,46.8203848,11.0757044
Seeberspitz - Cima del Lago,3282,46.8225182,11.0834481
Granatenkogel - Monte dei Granati,3304,46.8383484,11.070319
Königskogel - Monte Re,3050,46.8580817,11.0730491
Westl. Bankerjoch Spitz,2828,46.8898876,11.1016994
Schwarzwandspitz - Croda Nera di Malavalle,3358,46.9450441,11.168124
Wilder Pfaff - Cima del Prete,3456,46.9657531,11.1642893
Vordere Hintereisspitze,3437,46.8324003,10.782986
Unknown,3363,46.8869962,10.810151
Unknown,3369,46.8857967,10.8160657
Unknown,3471,46.8866082,10.8396734
Hinterer Brochkogel,3635,46.8860055,10.8497806
Kreuzerschneide,3655,46.8882748,10.8717643
Unknown,3549,46.8899573,10.8759759
Taufkarkogel,3362,46.8853914,10.8876652
Unknown,3284,46.898395,10.910463
Unknown,3214,46.906542,10.913117
Unknown,3176,46.910942,10.914015
Mutkogel,3312,46.915062,10.919742
Tiefenbachkogel,3309,46.9191127,10.9191605
Innere Schwarze Schneide,3369,46.924046,10.921151
Pitztaler Jochköpfle,3023,46.9412761,10.9191825
Nördlicher Polleskogel,3032,46.9443447,10.9196235
Dreizeiger,2980,46.945547,10.925968
Zweizeiger,2975,46.946723,10.928302
Roter Turm,2966,46.953873,10.933452
Rotkogel,2947,46.9673274,10.9490929
Roßkirpl,2942,46.9709913,10.9509664
Breitlehner,2794,46.9831724,10.9629781
Lange Wand,2876,46.987645,10.968442
Grieskogel,2909,46.9907568,10.9711137
Pollesfernerkopf,3015,46.946595,10.918032
Gschrappkogel,3194,46.961392,10.906373
Wassertalkogel,3247,46.9670664,10.9052619
Sonnenkogel,3170,46.9737798,10.9014443
Ampferkogel,3186,46.9964172,10.9135393
Silberschneide,3343,46.9998046,10.9141338
Unknown,3280,47.013431,10.9105694
Hoher Kogel,3296,47.0163218,10.9125432
Unknown,3087,47.0228982,10.9175962
Jochkogel,2972,47.0301472,10.8979167
Unknown,2925,47.0384017,10.8993936
